Gender,Stroke,PrelimsTime,FinalsTime,Lane
M,Breast,81.21000000000001,80.66,Inside
M,Breast,81.64,82.19,Inside
F,Back,62.13,61.92,Inside
F,Back,65.32,63.92,Inside
F,Back,70.25,67.89,Outside
F,Back,71.07,72.45,Outside
F,Back,71.28999999999999,73.06,Inside
F,Back,72.94,73.1,Inside
F,Back,78.46000000000001,77.22,Outside
F,Back,80.19,77.38,Outside
F,Back,90.37,91.27,Inside
M,Back,60.95,55.01,Inside
M,Back,59.25,57.76,Inside
M,Back,71.7,69.42,Outside
M,Back,76.72,77.52,Outside
F,Free,57.12,56.83,Inside
F,Free,57.26,57.32,Inside
F,Free,59.77,57.69,Outside
F,Free,60.5,59.62,Outside
F,Free,60.71,60.2,Inside
F,Free,60.83,60.23,Inside
F,Free,61.93,61.61,Outside
F,Free,63.39,64.58,Outside
F,Free,65.77,64.64,Inside
F,Free,65.98,64.83,Inside
F,Free,92.32,90.36,Outside
F,Free,99.34,90.75,Outside
M,Free,48.15,47.72,Inside
M,Free,50.1,49.17,Outside
M,Free,49.2,49.68,Inside
M,Free,50.38,50.3,Outside
M,Free,50.56,49.86,Inside
M,Free,52.25,51.86,Inside
M,Free,56.03,55.81,Outside
M,Free,57.72,57.63,Outside
M,Free,58.69,58.67,Inside
M,Free,61.45,63.72,Inside
F,Fly,58.16,58.01,Inside
F,Fly,59.15,58.83,Inside
F,Fly,61.11,60.8,Outside
F,Fly,63.78,62.15,Outside
F,Fly,64.22,63.21,Inside
F,Fly,65.06,63.67,Inside
F,Fly,81.27,79.63,Outside
F,Fly,81.42,81.86,Outside
M,Fly,50.78,50.52,Inside
M,Fly,51.88,51.83,Inside
M,Fly,53.61,52.45,Outside
M,Fly,53.1,53.08,Outside
M,Fly,54.06,54.79,Inside
M,Fly,55.18,55.02,Inside
M,Fly,57.3,55.83,Outside
M,Fly,57.1,58.4,Outside
F,Breast,66.71,64.51,Inside
F,Breast,67.62,67.1,Inside
F,Breast,71.24,71.07,Outside
F,Breast,71.91,72.66,Outside
F,Breast,73.58,72.07,Inside
F,Breast,74.45,74.1,Inside
F,Breast,79.78999999999999,77.76,Outside
F,Breast,77.12,79.97,Outside
M,Breast,57.27,56.19,Inside
M,Breast,57.54,56.85,Inside
M,Breast,59.75,58.71,Outside
M,Breast,59.96,58.78,Outside
M,Breast,60.48,59.98,Inside
M,Breast,63.48,63.14,Inside
M,Breast,81.69,81.32,Outside
F,Back,59.13,59.14,Inside
F,Back,59.97,61.25,Inside
F,Back,63.43,63.53,Outside
F,Back,63.45,63.71,Outside
F,Back,64.16,63.87,Inside
F,Back,66.08,65.04,Inside
F,Back,71.84,71.35,Outside
F,Back,71.97,71.87,Outside
M,Back,52.31,52.33,Inside
M,Back,53.03,52.9,Inside
M,Back,56.19,55.5,Outside
M,Back,55.17,55.55,Outside
M,Back,57.2,56.89,Inside
M,Back,57.48,57.95,Inside
M,Back,63.78,64.32,Outside
M,Back,67.88,67.86,Outside
F,Free,53.76,53.02,Inside
F,Free,55.35,54.34,Outside
F,Free,54.15,54.36,Inside
F,Free,55.62,55.12,Outside
F,Free,56.41,55.81,Inside
F,Free,56.04,56.11,Inside
F,Free,58.98,57.87,Outside
F,Free,60.74,60.65,Outside
M,Free,46.22,45.85,Inside
M,Free,47.21,46.55,Inside
M,Free,48.69,48.99,Outside
M,Free,48.37,49.42,Outside
M,Free,49.39,48.69,Inside
M,Free,49.57,49.02,Inside
M,Free,51.76,51.79,Outside
M,Free,51.7,52.23,Outside
F,Fly,58.97,56.72,Inside
F,Fly,61.24,60.24,Inside
F,Fly,74.2,73.12,Outside
F,Fly,74.15,73.37,Outside
F,Fly,83.9,80.98,Inside
F,Fly,91.82,92.65,Inside
M,Fly,52.01,51.3,Inside
M,Fly,53.96,53.8,Inside
M,Fly,57.68,56.1,Outside
